590.500       2230.4818      112.657
690.500       1727.4686      78.1706
790.500       2365.9706      95.1245
890.500       1924.9709      74.2678
990.500       1126.8488      41.6595
1090.50       1180.8430      42.3240
1190.50       1031.7890      34.9519
1290.50       721.85383      25.0701
1390.50       809.13478      26.6196
1490.50       660.65135      21.6932
1590.50       466.14200      14.5883
1690.50       376.58435      11.6699
1790.50       349.10155      10.6975
1890.50       246.09027      8.21409
1990.50       225.43635      7.64607
2090.50       202.92473      6.84038
2240.50       134.40969      3.88868
2440.50       92.059345      3.14267
2640.50       57.798934      2.70768
2840.50       44.168073      2.57254
3140.50       21.555458      1.81598
3540.50       9.2715780      1.82335
