         350  4.370373833394842E-003  9.766095751112711E-004
         400 -3.699680665654753E-004  6.138561487720174E-004
         450 -2.035067181191171E-003  4.383330385001291E-004
         500 -1.100898217577949E-003  3.146744018331851E-004
         550  3.453087179994223E-004  2.463118199591088E-004
         600  5.675552240371315E-004  2.368903027121613E-004
         650 -2.499634210539520E-004  2.211455782993543E-004
         700 -9.805812430366495E-004  1.884605296634225E-004
         750 -1.592088653845713E-003  1.606717076752876E-004
         800 -7.840079860386322E-004  1.114738414240670E-004
         850 -1.132779119537341E-004  9.343786212572605E-005
         900  3.661784359346893E-004  8.106577639597835E-005
         950  2.828444023201712E-004  7.481560037193313E-005
        1000 -1.550856390801708E-004  6.181207156333239E-005
        1050 -3.961335418454837E-004  5.162281364262152E-005
        1100 -4.086246482857677E-004  4.408825299735348E-005
        1150 -1.565983180089370E-004  3.428646634842109E-005
        1200  3.236269697301060E-005  3.127702143665309E-005
        1250 -8.655499844779963E-005  2.844209685723320E-005
        1300 -1.385197748648170E-004  2.653200686674653E-005
        1350 -2.449220640763815E-004  2.358514208599011E-005
        1400 -1.459867769083212E-004  2.001137770017662E-005
        1450 -9.365988153722355E-005  1.714919729584324E-005
        1500 -1.002731239675423E-005  1.432611284876157E-005
        1550 -3.761716320176771E-006  1.336978816295269E-005
        1600 -2.309991677486644E-005  1.200968911811481E-005
        1650 -5.070878158008782E-005  1.061235532949319E-005
        1700 -6.853136063829879E-005  9.178934387023215E-006
        1750 -3.404321757818821E-005  8.054556649387088E-006
        1800 -1.894743886372330E-005  7.299150125392654E-006
        1850 -1.323356098267401E-005  6.860027608337381E-006
        1900 -2.898704182359779E-005  6.527663319676192E-006
        1950 -3.772096819876424E-005  5.745382293092429E-006
        2000 -2.392089617980474E-005  5.454614802740614E-006
        2075 -2.083658481187285E-005  3.273697440540353E-006
        2175 -6.777307167028485E-006  2.711357045760706E-006
        2275 -6.603621906960351E-006  2.380827535249656E-006
        2375 -1.003120890917444E-005  2.052748713339012E-006
        2475 -2.240238196423804E-007  1.770408176620354E-006
        2625 -3.243349364652647E-006  1.079989052402710E-006
        2825 -1.409187536641244E-006  8.527941607686506E-007
        3025 -1.680834685236995E-006  7.819906965836176E-007
        3325  7.936505692337454E-007  4.801858293313173E-007
        3725 -6.515501296594802E-007  4.217552136344493E-007
	4125  1.809715066971227E-007  4.246361680380160E-007
