         500  5.546152121480554E-002  5.226998843779049E-003
         550  5.116842998791486E-002  4.036573156132571E-003
         600  3.988951146131382E-002  2.668197935819271E-003
         650  2.936507467139512E-002  1.994841643281246E-003
         700  2.395376502238214E-002  1.609823850793335E-003
         750  2.501365919187665E-002  1.511970226941965E-003
         800  2.514472287887707E-002  1.409328448446807E-003
         850  2.190194611880928E-002  1.197244858427101E-003
         900  1.473867193407379E-002  7.415057348182178E-004
         950  9.549602286797017E-003  5.132260133585498E-004
        1000  6.384818355850875E-003  3.891619957753187E-004
        1050  5.714433306786232E-003  3.395855814171096E-004
        1100  6.735745070693083E-003  3.156337050436037E-004
        1150  5.706616660268046E-003  2.802666421380280E-004
        1200  4.319455116654281E-003  2.227906504565034E-004
        1250  3.412857901207171E-003  1.532836382277544E-004
        1300  2.430466149109416E-003  1.348881618359383E-004
        1350  2.843891684613191E-003  1.254930335671454E-004
        1400  2.679086241989862E-003  1.220813998666650E-004
        1450  2.313275007430930E-003  1.076819219722539E-004
        1500  1.801189259064850E-003  8.265666978162939E-005
        1550  1.332807437257143E-003  6.293755076372479E-005
        1600  1.091515923473635E-003  4.906875317011596E-005
        1650  9.431875644641696E-004  4.469308240399835E-005
        1700  8.203033052635146E-004  4.011133183427889E-005
        1750  7.872531372582307E-004  3.557562962319345E-005
        1800  6.803712515422376E-004  3.125099243361701E-005
        1850  5.328568290171097E-004  2.624661678515427E-005
        1900  4.312634590230300E-004  2.174191905762288E-005
        1950  4.192074357855017E-004  1.949310050607063E-005
        2000  3.676205070578726E-004  1.858885301973731E-005
        2075  3.256337758048903E-004  1.088964786696066E-005
        2175  2.007354108596337E-004  8.134089371126563E-006
        2275  1.392690208524437E-004  6.140582167933835E-006
        2375  1.154221585774940E-004  5.481219882526433E-006
        2475  8.635885425159358E-005  4.345406733267068E-006
        2625  5.768831350906112E-005  2.381221519775526E-006
        2825  2.811552105671581E-005  1.806700025270385E-006
        3025  1.708899639950687E-005  1.380827920060190E-006
        3325  7.451876689751771E-006  8.478136650499726E-007
        3725  1.459812534330487E-006  6.394574902843309E-007
        4125  1.349725985666614E-007  5.466755661023441E-007
